valid_time,t2m,latitude,longitude
2023-01-01 00:00:00,297.41635,5.5,100.25
2023-01-01 01:00:00,297.42517,5.5,100.25
2023-01-01 02:00:00,298.9425,5.5,100.25
2023-01-01 03:00:00,300.03717,5.5,100.25
2023-01-01 04:00:00,300.8805,5.5,100.25
2023-01-01 05:00:00,302.04034,5.5,100.25
2023-01-01 06:00:00,302.87375,5.5,100.25
2023-01-01 07:00:00,303.6073,5.5,100.25
2023-01-01 08:00:00,303.96732,5.5,100.25
2023-01-01 09:00:00,304.2074,5.5,100.25
2023-01-01 10:00:00,303.32626,5.5,100.25
2023-01-01 11:00:00,302.45575,5.5,100.25
2023-01-01 12:00:00,302.1761,5.5,100.25
2023-01-01 13:00:00,301.78384,5.5,100.25
2023-01-01 14:00:00,300.79163,5.5,100.25
2023-01-01 15:00:00,300.17236,5.5,100.25
2023-01-01 16:00:00,299.72382,5.5,100.25
2023-01-01 17:00:00,299.32013,5.5,100.25
2023-01-01 18:00:00,299.02286,5.5,100.25
2023-01-01 19:00:00,298.80792,5.5,100.25
2023-01-01 20:00:00,298.448,5.5,100.25
2023-01-01 21:00:00,298.35983,5.5,100.25
2023-01-01 22:00:00,298.55026,5.5,100.25
2023-01-01 23:00:00,298.34027,5.5,100.25
2023-01-02 00:00:00,298.41293,5.5,100.25
2023-01-02 01:00:00,298.50665,5.5,100.25
2023-01-02 02:00:00,299.82416,5.5,100.25
2023-01-02 03:00:00,300.54523,5.5,100.25
2023-01-02 04:00:00,301.25513,5.5,100.25
2023-01-02 05:00:00,302.28125,5.5,100.25
2023-01-02 06:00:00,302.98993,5.5,100.25
2023-01-02 07:00:00,303.34204,5.5,100.25
2023-01-02 08:00:00,303.37042,5.5,100.25
2023-01-02 09:00:00,303.2132,5.5,100.25
2023-01-02 10:00:00,302.81894,5.5,100.25
2023-01-02 11:00:00,302.77094,5.5,100.25
2023-01-02 12:00:00,302.701,5.5,100.25
2023-01-02 13:00:00,301.71625,5.5,100.25
2023-01-02 14:00:00,300.83844,5.5,100.25
2023-01-02 15:00:00,300.66833,5.5,100.25
2023-01-02 16:00:00,300.1975,5.5,100.25
2023-01-02 17:00:00,299.7442,5.5,100.25
2023-01-02 18:00:00,299.41223,5.5,100.25
2023-01-02 19:00:00,299.2147,5.5,100.25
2023-01-02 20:00:00,298.95993,5.5,100.25
2023-01-02 21:00:00,298.81665,5.5,100.25
